Question_Num,Single_Layer_rouge_1_f1,Single_Layer_rouge_2_f1,Single_Layer_rouge_l_f1,Single_Layer_bert_p,Single_Layer_bert_r,Single_Layer_bert_f1,Single_Layer_bert_similarity,Single_Layer_sorensen,Single_Layer_jaccard,Single_Layer_tfidf,Double_Layer_rouge_1_f1,Double_Layer_rouge_2_f1,Double_Layer_rouge_l_f1,Double_Layer_bert_p,Double_Layer_bert_r,Double_Layer_bert_f1,Double_Layer_bert_similarity,Double_Layer_sorensen,Double_Layer_jaccard,Double_Layer_tfidf,Triple_Layer_rouge_1_f1,Triple_Layer_rouge_2_f1,Triple_Layer_rouge_l_f1,Triple_Layer_bert_p,Triple_Layer_bert_r,Triple_Layer_bert_f1,Triple_Layer_bert_similarity,Triple_Layer_sorensen,Triple_Layer_jaccard,Triple_Layer_tfidf
35,0.924315,0.588078,0.852516,0.865241,0.872744,0.497518,0.432652,0.919244,0.826143,0.691127,0.525074,0.532294,0.835103,0.861056,0.926947,0.486403,0.946187,0.801923,0.927458,0.811997,0.907488,0.860294,0.877323,0.933614,0.929345,0.936504,0.860578,0.902406,0.908395,0.819246
36,0.755144,0.624787,0.486638,0.723083,0.443095,0.705042,0.577593,0.832072,0.691463,0.688958,0.648206,0.619961,0.677617,0.880671,0.911614,0.940719,0.532592,0.892459,0.959255,0.718671,0.705293,0.940883,0.899154,0.787882,0.840418,0.945755,0.911609,0.902106,0.935387,0.885594
37,0.764361,0.729687,0.617831,0.473255,0.714342,0.787297,0.548799,0.535851,0.870203,0.660443,0.588952,0.622146,0.547455,0.822916,0.956682,0.888556,0.803378,0.738314,0.861392,0.737118,0.926907,0.758203,0.910217,0.945086,0.874961,0.934749,0.813183,0.902225,0.911053,0.860146
38,0.947672,0.425845,0.800755,0.492196,0.825136,0.662309,0.713467,0.601677,0.664727,0.552016,0.938309,0.957875,0.729998,0.943947,0.820784,0.903933,0.905249,0.941939,0.947357,0.782541,0.867497,0.711908,0.751442,0.933166,0.847979,0.905137,0.656717,0.757778,0.911319,0.905573
39,0.484836,0.873979,0.512091,0.830281,0.891454,0.781367,0.759588,0.601604,0.843897,0.583591,0.875232,0.648222,0.910884,0.555558,0.718303,0.545761,0.703336,0.767265,0.876268,0.700765,0.948945,0.909961,0.932849,0.909674,0.785417,0.906985,0.854118,0.937766,0.772389,0.856224
40,0.831106,0.817699,0.665777,0.852333,0.917119,0.562357,0.895449,0.874297,0.576493,0.659843,0.858874,0.806293,0.922179,0.561809,0.858779,0.716942,0.598637,0.487319,0.752224,0.759098,0.904257,0.903397,0.854521,0.948626,0.896056,0.894585,0.713622,0.916203,0.810873,0.876558
41,0.836343,0.553963,0.898309,0.582865,0.827898,0.657642,0.844161,0.774355,0.905709,0.686923,0.924139,0.922986,0.903295,0.930317,0.695032,0.861071,0.511468,0.929455,0.859371,0.802286,0.767717,0.777111,0.906706,0.764131,0.942496,0.821708,0.794647,0.695242,0.870435,0.895149
42,0.864848,0.889637,0.947498,0.748344,0.923023,0.708745,0.785964,0.720862,0.654347,0.658568,0.767245,0.795894,0.948308,0.638236,0.505813,0.914547,0.676472,0.879513,0.895368,0.685701,0.797134,0.760853,0.930353,0.933628,0.833967,0.915573,0.867381,0.923491,0.726178,0.905973
43,0.746051,0.839182,0.778245,0.595216,0.563211,0.722058,0.755057,0.843004,0.692294,0.644218,0.948482,0.931307,0.642377,0.471992,0.944927,0.924686,0.943125,0.907849,0.870244,0.757385,0.914501,0.872293,0.781777,0.875654,0.902901,0.818803,0.906789,0.943454,0.896842,0.843991
44,0.538156,0.443771,0.765758,0.553665,0.774787,0.606576,0.916901,0.736382,0.853596,0.634945,0.957003,0.721536,0.926205,0.916096,0.910177,0.897194,0.923756,0.740768,0.874076,0.760395,0.855183,0.751459,0.777513,0.901758,0.879245,0.853607,0.866099,0.871357,0.939425,0.869965
45,0.804882,0.452527,0.861474,0.683196,0.595752,0.617511,0.663314,0.667836,0.589364,0.576074,0.490361,0.930042,0.595005,0.783752,0.829618,0.909629,0.672796,0.607999,0.913272,0.781273,0.920633,0.770624,0.769509,0.869155,0.781488,0.922211,0.905705,0.806702,0.943418,0.865752
46,0.563301,0.929715,0.492016,0.899731,0.675082,0.887155,0.625748,0.816672,0.762582,0.614008,0.625187,0.915318,0.907371,0.883613,0.895495,0.805043,0.904639,0.738565,0.769623,0.700522,0.904879,0.821196,0.809682,0.907638,0.894167,0.696247,0.892731,0.860551,0.914961,0.860403
47,0.865915,0.555696,0.680922,0.630646,0.557147,0.477137,0.804242,0.787899,0.812698,0.626968,0.943887,0.534693,0.897728,0.922537,0.785227,0.910602,0.537781,0.895209,0.717433,0.697182,0.890698,0.929633,0.932057,0.882297,0.705994,0.766393,0.768601,0.688223,0.901671,0.932964
48,0.568607,0.869401,0.801325,0.736587,0.622721,0.742085,0.466777,0.871914,0.738365,0.702856,0.667637,0.877624,0.893645,0.942927,0.589004,0.830128,0.770301,0.803962,0.567507,0.770878,0.875816,0.896743,0.691548,0.821399,0.940629,0.918106,0.918987,0.755212,0.888713,0.892149
49,0.533107,0.928539,0.910807,0.843005,0.882754,0.769712,0.451466,0.869032,0.484671,0.667181,0.833916,0.832029,0.895154,0.874932,0.726634,0.927649,0.808427,0.818389,0.741564,0.761879,0.845866,0.891163,0.914715,0.948531,0.870522,0.899932,0.762542,0.860653,0.887307,0.842173
50,0.607111,0.640031,0.772175,0.797108,0.883978,0.657667,0.889301,0.883136,0.701019,0.721848,0.921735,0.767894,0.914627,0.675791,0.910924,0.832145,0.920732,0.910361,0.771865,0.760019,0.948277,0.916964,0.922588,0.789148,0.949145,0.919071,0.773471,0.912751,0.923888,0.907536
51,0.577402,0.848268,0.622664,0.566146,0.476463,0.791944,0.531865,0.586427,0.859528,0.666204,0.885266,0.692353,0.825857,0.922839,0.914663,0.671417,0.911117,0.822628,0.463361,0.763858,0.929137,0.930725,0.920149,0.823128,0.841786,0.829699,0.806454,0.774334,0.896312,0.943665
52,0.872993,0.611946,0.940465,0.495001,0.905047,0.864304,0.847482,0.765301,0.788717,0.630746,0.651032,0.857316,0.955117,0.611109,0.646955,0.922305,0.767163,0.789225,0.679646,0.722799,0.828191,0.792449,0.654813,0.880585,0.936301,0.933277,0.686063,0.945001,0.893524,0.910974
53,0.939103,0.431124,0.651511,0.492301,0.748282,0.820788,0.881553,0.927049,0.654544,0.616154,0.479913,0.680631,0.811579,0.612308,0.624253,0.575475,0.878656,0.916994,0.590307,0.759285,0.930805,0.900484,0.665191,0.885304,0.750573,0.773025,0.904856,0.901782,0.920835,0.834419
54,0.932943,0.803381,0.577033,0.741744,0.704825,0.654229,0.468628,0.716487,0.446257,0.680584,0.923658,0.690603,0.898048,0.748833,0.934733,0.910845,0.904024,0.959093,0.632919,0.761723,0.946808,0.728155,0.721658,0.890582,0.905554,0.808704,0.683992,0.935192,0.871515,0.865473
55,0.936364,0.646264,0.571058,0.415404,0.655238,0.761325,0.774686,0.726236,0.917647,0.701551,0.519225,0.957886,0.913091,0.731114,0.613897,0.929181,0.942663,0.824416,0.959971,0.721426,0.872293,0.920159,0.894988,0.910992,0.867731,0.909725,0.931733,0.901627,0.940799,0.918007
56,0.802262,0.819183,0.730225,0.568228,0.820773,0.867042,0.947669,0.704385,0.760767,0.696564,0.801561,0.794216,0.874554,0.683097,0.781298,0.883376,0.875724,0.871895,0.887455,0.824631,0.944779,0.933209,0.921153,0.756624,0.869494,0.947446,0.787992,0.753896,0.938611,0.858773
57,0.901121,0.798943,0.942456,0.485225,0.912296,0.852792,0.854279,0.800396,0.567653,0.608039,0.921328,0.947535,0.665579,0.892558,0.881671,0.863994,0.620287,0.813672,0.946874,0.768953,0.914583,0.805913,0.907939,0.865692,0.863127,0.718362,0.870402,0.911788,0.908071,0.893315
58,0.653569,0.494033,0.506629,0.809731,0.949551,0.790973,0.664821,0.783676,0.547487,0.634539,0.868866,0.702605,0.900539,0.903994,0.648519,0.920471,0.571607,0.949989,0.922808,0.702348,0.914412,0.909222,0.791459,0.925378,0.669529,0.895112,0.916098,0.699944,0.828903,0.903239
59,0.505023,0.722381,0.541036,0.467322,0.759853,0.811526,0.843915,0.754153,0.466739,0.666563,0.912496,0.799535,0.899524,0.820094,0.747288,0.871321,0.700806,0.740572,0.821166,0.776262,0.940526,0.947716,0.730301,0.941052,0.734364,0.812607,0.915865,0.903081,0.945003,0.852192
60,0.658952,0.843177,0.935639,0.485397,0.700743,0.677677,0.482307,0.572104,0.570828,0.698777,0.883743,0.834585,0.857754,0.613585,0.824969,0.919814,0.707389,0.892757,0.866625,0.711013,0.917511,0.907725,0.872389,0.908167,0.709022,0.929254,0.878092,0.792359,0.782608,0.878214
61,0.650697,0.659542,0.887926,0.618778,0.536375,0.894734,0.923042,0.553018,0.902152,0.626041,0.726383,0.829591,0.852316,0.765012,0.943829,0.875236,0.571657,0.929586,0.928606,0.781483,0.947048,0.875877,0.905777,0.913693,0.675207,0.794167,0.879712,0.945386,0.870246,0.782762
62,0.631949,0.556324,0.862111,0.508678,0.410544,0.642098,0.732936,0.850969,0.862327,0.640717,0.484319,0.926517,0.741103,0.845591,0.857579,0.841718,0.930447,0.729207,0.886057,0.796344,0.948135,0.811714,0.907037,0.907972,0.801943,0.908252,0.914445,0.810293,0.911555,0.849268
63,0.682135,0.834746,0.588955,0.885334,0.771468,0.587443,0.850398,0.887771,0.660458,0.594683,0.659315,0.731735,0.711663,0.602078,0.886252,0.956664,0.943063,0.875374,0.832468,0.717173,0.928817,0.949838,0.902162,0.900754,0.782238,0.900623,0.828698,0.912334,0.915781,0.872423
64,0.508435,0.515288,0.805821,0.495604,0.918759,0.447829,0.875579,0.437189,0.589095,0.590189,0.958027,0.945971,0.920613,0.946161,0.755411,0.932017,0.798625,0.612969,0.627941,0.788535,0.860226,0.933826,0.922983,0.902137,0.902067,0.875682,0.918729,0.906027,0.911382,0.842567
65,0.643279,0.882874,0.446314,0.474065,0.755692,0.794709,0.667812,0.880978,0.537135,0.690626,0.857339,0.772197,0.656368,0.886237,0.868529,0.571389,0.872498,0.951902,0.915428,0.766511,0.940064,0.892149,0.923112,0.909838,0.926881,0.887687,0.933794,0.816292,0.684362,0.928972
66,0.929459,0.702024,0.910693,0.854913,0.767979,0.493568,0.447134,0.482003,0.719153,0.717812,0.724762,0.747403,0.864299,0.923751,0.810421,0.695673,0.854013,0.906431,0.874444,0.782882,0.876876,0.687369,0.867368,0.826197,0.934288,0.914353,0.877836,0.860869,0.725983,0.837096
67,0.914733,0.915455,0.602711,0.428975,0.899015,0.472182,0.700328,0.736729,0.723712,0.646399,0.928169,0.905837,0.838082,0.918125,0.940629,0.921096,0.907269,0.916183,0.940026,0.825872,0.933337,0.922562,0.912973,0.946012,0.871232,0.929242,0.779354,0.762229,0.889105,0.866799
68,0.470377,0.737737,0.911003,0.465529,0.439585,0.742095,0.801698,0.692796,0.900912,0.700177,0.934766,0.948479,0.633865,0.884884,0.522437,0.730546,0.846655,0.891147,0.916243,0.740184,0.947399,0.870069,0.786517,0.912832,0.838429,0.823665,0.907125,0.852046,0.831508,0.883922
69,0.688471,0.537204,0.714482,0.865852,0.638543,0.818721,0.918832,0.810225,0.500259,0.668082,0.822189,0.671092,0.916207,0.923631,0.927035,0.779387,0.925501,0.949258,0.893133,0.719851,0.912909,0.905777,0.731472,0.885525,0.892223,0.702769,0.798858,0.780833,0.810615,0.923238
70,0.839337,0.456652,0.491023,0.814404,0.883093,0.842311,0.829993,0.429801,0.616772,0.617744,0.944813,0.904225,0.580687,0.864834,0.693238,0.906239,0.549763,0.927525,0.824459,0.714419,0.799992,0.925915,0.813573,0.925646,0.820771,0.906875,0.901886,0.686931,0.840924,0.836924
71,0.923125,0.800291,0.683493,0.483595,0.701006,0.454935,0.787049,0.626657,0.498127,0.668063,0.831831,0.870938,0.841611,0.899165,0.959654,0.853627,0.738337,0.688496,0.821924,0.717368,0.883408,0.906283,0.817586,0.934808,0.743361,0.933742,0.949219,0.710765,0.920641,0.914895
72,0.609934,0.938434,0.905532,0.748907,0.532395,0.932327,0.893013,0.881707,0.730965,0.726902,0.903543,0.789097,0.911937,0.877268,0.951008,0.634999,0.836345,0.948669,0.955303,0.746916,0.892726,0.908133,0.821095,0.914571,0.908452,0.925257,0.942096,0.912296,0.934187,0.880307
73,0.596297,0.876579,0.766248,0.563955,0.596493,0.770491,0.462006,0.644435,0.693641,0.648209,0.891351,0.531691,0.952558,0.920593,0.540534,0.787705,0.595049,0.743611,0.935546,0.763646,0.908956,0.827887,0.933478,0.852911,0.770314,0.775295,0.885565,0.874805,0.904072,0.850555
74,0.868909,0.629511,0.589125,0.752096,0.612194,0.746981,0.503088,0.910143,0.768229,0.728232,0.635996,0.653347,0.707001,0.747732,0.890407,0.706441,0.724517,0.907901,0.582255,0.761068,0.949703,0.885243,0.821745,0.890193,0.919716,0.906586,0.778587,0.890107,0.911136,0.893863
75,0.446565,0.900509,0.840421,0.641224,0.507866,0.922221,0.692184,0.508495,0.513507,0.519013,0.797382,0.876853,0.912284,0.841051,0.857957,0.559785,0.896074,0.672892,0.910701,0.783087,0.925187,0.897126,0.925318,0.924382,0.769994,0.941376,0.902687,0.665688,0.890253,0.885972
76,0.459033,0.466701,0.846748,0.885066,0.888458,0.691521,0.677866,0.866015,0.910011,0.691095,0.884997,0.951898,0.843856,0.891672,0.693497,0.894705,0.921149,0.920847,0.902977,0.750519,0.885697,0.868001,0.889872,0.921929,0.709812,0.914831,0.913713,0.915405,0.751618,0.861993
77,0.912326,0.580799,0.457502,0.764103,0.528006,0.579632,0.737601,0.744151,0.930649,0.654352,0.959239,0.687224,0.597865,0.937152,0.675084,0.934596,0.877518,0.877071,0.959586,0.808141,0.656007,0.913987,0.909103,0.701035,0.946889,0.948653,0.942087,0.947305,0.799456,0.882094
78,0.907122,0.767571,0.938116,0.844996,0.898046,0.626021,0.542115,0.865159,0.837569,0.635045,0.934734,0.895524,0.881804,0.696138,0.944615,0.697948,0.942733,0.902586,0.676334,0.739414,0.840034,0.934043,0.858269,0.864901,0.689281,0.909409,0.923797,0.902189,0.877706,0.868441
79,0.926092,0.866919,0.535537,0.487783,0.760277,0.714009,0.784747,0.459518,0.552801,0.654588,0.811119,0.596964,0.942081,0.591793,0.845487,0.617567,0.954819,0.642095,0.748184,0.858807,0.942983,0.816451,0.933249,0.919024,0.913919,0.765447,0.933574,0.825219,0.919232,0.883406
80,0.589136,0.605062,0.817671,0.681383,0.521356,0.861213,0.657196,0.943287,0.701336,0.550622,0.905935,0.625543,0.507509,0.783802,0.664394,0.846993,0.873541,0.949634,0.573418,0.775027,0.890528,0.731479,0.784708,0.919641,0.919583,0.820627,0.875856,0.871436,0.662452,0.899864
81,0.744671,0.519389,0.651531,0.890194,0.903726,0.640807,0.694396,0.799185,0.744942,0.639016,0.906264,0.917665,0.690427,0.851861,0.776706,0.871889,0.807925,0.935439,0.592227,0.715714,0.916006,0.757293,0.932973,0.906684,0.791703,0.930315,0.929203,0.912966,0.912067,0.927581
82,0.449725,0.920518,0.751981,0.729842,0.644884,0.480835,0.856933,0.892575,0.927309,0.667856,0.691646,0.922073,0.888787,0.844555,0.869526,0.686384,0.895706,0.898851,0.675438,0.707164,0.910319,0.750329,0.915928,0.773738,0.892017,0.687156,0.922052,0.912096,0.829871,0.842866
83,0.712025,0.519967,0.862035,0.538187,0.593052,0.816289,0.709833,0.668902,0.925684,0.723895,0.768614,0.868699,0.826251,0.815616,0.937392,0.936139,0.524871,0.621555,0.731354,0.769299,0.944633,0.827044,0.771501,0.916149,0.721322,0.787977,0.776916,0.714406,0.933232,0.943991
84,0.565265,0.624019,0.464535,0.942696,0.856435,0.622899,0.477572,0.546187,0.840822,0.624086,0.559771,0.917861,0.920276,0.871459,0.751064,0.824833,0.796028,0.654488,0.874371,0.741061,0.727362,0.695249,0.919049,0.894985,0.787963,0.942613,0.939464,0.809253,0.746647,0.821437
85,0.859777,0.570557,0.669988,0.470938,0.596818,0.577213,0.526457,0.755428,0.693706,0.609575,0.895047,0.700217,0.629937,0.915621,0.622073,0.914148,0.591727,0.774966,0.817239,0.778557,0.916906,0.931922,0.787887,0.803399,0.797219,0.690944,0.940043,0.902572,0.778978,0.875446
86,0.663253,0.444755,0.612575,0.912507,0.564561,0.560306,0.547309,0.511335,0.849362,0.624912,0.820096,0.706046,0.811873,0.944975,0.927773,0.787481,0.540315,0.860227,0.530592,0.768935,0.937597,0.894452,0.772523,0.909495,0.910322,0.897298,0.700326,0.825279,0.934468,0.897655
